Name|Type|eWeaponVar|Purpose|Notes
``active_crosshair_count``|``int``|True|The number of crosshairs to use from the weapon's crosshair list, starting at ``rui_crosshair_index``.|
``activitymodifier``|``string``|True|Used for certain weapon animations.|
``ads_fov_zoomfrac_end``|``float``|True|The fraction at which FoV should finish zooming in when aiming down sights.|
``ads_fov_zoomfrac_start``|``float``|True|The fraction at which FoV should start zooming in when aiming down sights.|
``ads_move_speed_scale``|``float``|True|Scalar on movement speed when aiming down sights. Does not affect acceleration.|
``aimassist_adspull_weaponclass``|``string``|True|Determines the aim assist class for aim assist pull on aiming down sights.|"``none``: No aim assist pull.

``broad``, ``broad_sp``: Moderate aim assist pull.

``precise``, ``precise_sp``: High aim assist pull."
``aimassist_adspull_zoomEnd``|``float``|True|The fraction during aiming down sights at which aim assist pull ends.|
``aimassist_adspull_zoomStart``|``float``|True|The fraction during aiming down sights at which aim assist pull starts.|
``aimassist_disable_ads``|``bool``|True|Disables aim assist while aiming down sights.|
``aimassist_disable_ads_humansonly``|``bool``|True|Disables aim assist on non-heavily armored targets while aiming down sights.|
``aimassist_disable_ads_titansonly``|``bool``|True|Disables aim assist on heavily armored targets while aiming down sights.|
``aimassist_disable_hipfire``|``bool``|True|Disables aim assist while not aiming down sights.|
``aimassist_disable_hipfire_humansonly``|``bool``|True|Disables aim assist on non-heavily armored targets while not aiming down sights.|
``aimassist_disable_hipfire_titansonly``|``bool``|True|Disables aim assist on heavily armored targets while not aiming down sights.|
``allow_empty_fire``|``bool``|True|Allows the weapon to fire with no ammo remaining.|
``allow_headshots``|``bool``|True|Allows the weapon to land headshots on non-heavily armored targets. Does not work on titan weapons.|
``alt_fire_anim_count``|``int``|True|Used to alternate firing animations on weapons with dual launchers (Flight Core, Salvo Core, etc.)|
``alwaysShow``|``bool``|False|Unknown.|
``ammo_clip_random_loss_on_npc_drop``|``float``|True|Random fraction of ammo missing in the clip when dropped by an NPC.|
``ammo_clip_random_loss_on_npc_drop_chunksize``|``int``|True|Ensures that the ammo remaining in the weapon when dropped by an NPC is divisible by this value.|
``ammo_clip_reload_max``|``int``|True|Unknown.|
``ammo_clip_size``|``int``|True|Magazine size.|
``ammo_default_total``|``int``|True|The total amount of ammo a weapon spawns with, including the magazine.|
``ammo_display``|``string``|True|Unknown.|
``ammo_display_as_clips``|``bool``|True|Unknown.|
``ammo_drains_to_empty_on_fire``|``bool``|True|Forces the weapon's clip to drain to empty over ``fire_duration``.|
``ammo_min_to_fire``|``int``|True|The minimum amount of ammo needed to fire the weapon.|
``ammo_min_to_fire_autoreloads``|``bool``|True|Forces a reload when the current ammo is lower than ``ammo_min_to_fire``.|
``ammo_no_remove_from_clip``|``bool``|True|Enables/disables consuming ammo in the magazine on attack.|"If true while ``ammo_no_remove_from_stockpile`` is false, displays only stockpile ammo on HUD. If both are true, displays infinite ammo.

If true and magazine size is greater than 0, ammo is not removed from stockpile."
``ammo_no_remove_from_stockpile``|``bool``|True|Enables/disables consuming ammo in the stockpile when reloading or on weapons with no magazine.|"If false, displays stockpile ammo on HUD."
``ammo_per_shot``|``int``|True|The amount of ammo consumed per shot.|
``ammo_size_segmented_reload``|``int``|True|The amount of ammo reloaded per segment on weapons with segmented reloads.|
``ammo_stockpile_max``|``int``|True|The maximum amount of ammo that the stockpile can hold.|
``ammo_suck_behavior``|``string``|True|Can be ``melee_weapons``, ``offhand_weapons``, or ``primary_weapons``. Use unknown.|
``anim_alt_idleAttack``|``int``|True|Unknown.|
``arc_switch_activator``|``bool``|False|Unknown.|
``attack_button_presses_ads``|``bool``|True|Enables/disables the attack button triggering aim down sights when held.|
``attack_button_presses_melee``|``bool``|True|Enables/disables the attack button triggering melee.|
``battle_chatter_event``|``string``|False|Unknown.|
``bob_``|Various|False|A set of values controlling view model bobbing while moving.|
``body_skin``|``int``|True|Unknown.|
``body_type``|``string``|False|Unknown.|
``bodygroup1_name``|``string``|False|The name that body group 1 is tied to.|
``bodygroup1_set``|``bool``|True|Enables/disables body group 1.|"Distinct values exist for bodygroups up to ``bodygroup10``."
``bodygroup_ads_scope_name``|``string``|False|The name that the set of aiming down sights scopes is tied to.|
``bodygroup_ads_scope_set``|``int``|True|The index of the scope to use from the set while aiming down sights.|
``bodygroup_ammo_index_count``|``int``|True|The maximum amount of ammo visible on the viewmodel.|
``bolt_bounce_frac``|``float``|True|Maximum angle fraction from parallel that a bolt can still bounce off a surface at.|
``bolt_gravity_enabled``|``bool``|True|Enables/disables gravity on bolts fired.|
``bolt_hitsize``|``float``|True|The hitbox size of bolts.|"Hitbox size does not affect map collisions.

Not 1:1 with other size measurements."
``bolt_hitsize_grow1_size``|``float``|True|The hitbox size the bolt reaches at the grow1 time.|
``bolt_hitsize_grow1_time``|``float``|True|The time in seconds at which grow1 size is reached.|
``bolt_hitsize_grow2_size``|``float``|True|The hitbox size the bolt reaches at the grow2 time.|
``bolt_hitsize_grow2_time``|``float``|True|The time in seconds at which grow2 size is reached.|
``bolt_hitsize_growfinal_lerptime``|``float``|True|The hitbox size the bolt reaches at the growfinal time.|
``bolt_hitsize_growfinal_size``|``float``|True|The time in seconds at which growfinal size is reached.|"Time values are absolute from projectile spawn, not cumulative. Later time values must be >= the previous values."
``bounce_effect_table``|``asset``|True|The effect table to use when bouncing.|
``breaks_cloak``|``bool``|True|Enables/disables breaking cloak on attack.|"Does not appear to work for all weapons, such as titan weaponry."
``burst_fire_count``|``int``|True|The number of shots fired in a burst.|
``burst_fire_delay``|``float``|True|The delay after a burst before another burst can be fired.|"Counts from the moment the last shot in a burst is fired.

Also prevents other actions (e.g. holstering, melee) until finished."
``burst_or_looping_fire_sound_end``|``string``|True|Deprecated. Sound effect played at the end of the burst/loop for the user.|
``burst_or_looping_fire_sound_end_1p``|``string``|True|Sound effect played at the end of the burst/loop for the user.|
``burst_or_looping_fire_sound_end_3p``|``string``|True|Sound effect played at the end of the burst/loop for others.|
``burst_or_looping_fire_sound_end_npc``|``string``|True|Sound effect played at the end of the burst/loop for others when an NPC is using the weapon.|
``burst_or_looping_fire_sound_middle``|``string``|True|Deprecated. Sound effect played on every attack in the burst/loop for the user. Ends on burst/loop end.|
``burst_or_looping_fire_sound_middle_1p``|``string``|True|Sound effect played on every attack in the burst/loop for the user. Ends on burst/loop end.|
``burst_or_looping_fire_sound_middle_3p``|``string``|True|Sound effect played on every attack in the burst/loop for others. Ends on burst/loop end.|
``burst_or_looping_fire_sound_middle_npc``|``string``|True|Sound effect played on every attack in the burst/loop for others when an NPC is using the weapon. Ends on burst/loop end.|
``burst_or_looping_fire_sound_start``|``string``|True|Deprecated. Sound effect played at the start of the burst/loop for the user.|
``burst_or_looping_fire_sound_start_1p``|``string``|True|Sound effect played at the start of the burst/loop for the user.|
``burst_or_looping_fire_sound_start_3p``|``string``|True|Sound effect played at the start of the burst/loop for others.|
``burst_or_looping_fire_sound_start_npc``|``string``|True|Sound effect played at the start of the burst/loop for others when an NPC is using the weapon.|
``bypass_semiauto_hold_protection``|``bool``|True|Unknown.|
``can_attack_when_dead``|``bool``|True|Unknown.|
``challeng_req``|``string``|True|Unknown.|
``challenge_tier``|``int``|True|Unknown.|
``chance_for_bonus_last_shot_in_clip``|``float``|True|Chance to refund a shot while on the last shot in the magazine.|
``charge_allow_melee``|``bool``|True|Allows the user to melee in the middle of charging the weapon.|
``charge_allow_midway_charge``|``bool``|True|Unknown.|
``charge_cooldown_delay``|``float``|True|The time in seconds since last charge before charge begins cooling down.|
``charge_cooldown_time``|``float``|True|The time in seconds for charge to cooldown to 0 (from full charge).|
``charge_drain_sound_1p``|``string``|True|Sound effect played to the user when charge begins cooling down.|
``charge_drain_sound_3p``|``string``|True|Sound effect played to others when charge begins cooling down.|
``charge_drain_sound_seek_to_charge_fraction``|``bool``|True|Enables/disables setting the starting point of the charge drain sound effect to match the charge fraction.|
``charge_drain_sound_stop_when_empty``|``bool``|True|Enables/disables stopping the charge drain sound effect when charge is empty.|
``charge_effect_1p``|``string``|True|The particle effect played to the user when charging.|
``charge_effect_3p``|``string``|True|The particle effect played to others when charging.|
``charge_effect_attachment``|``string``|True|The weapon part to attach the charge effect to.|"An additional charge effect can be used under ``charge_effect2``."
``charge_effect_show_during_drain``|``bool``|True|Determines whether to show the charge effect while cooling down.|
``charge_end_forces_fire``|``bool``|True|Forces the weapon to fire once charge is full.|"Always forces fire if ``charge_is_triggered_by_ADS`` is false."
``charge_full_sound_1p``|``string``|True|Sound effect played to the user when charge is full.|
``charge_full_sound_3p``|``string``|True|Sound effect played to others when charge is full.|
``charge_is_triggered_by_ADS``|``bool``|True|Determines whether charge is triggered by aiming down sights.|"If false, charge is triggered by holding the attack button.

If false, appears to break other charge systems, such as sound effects and charge level increased callbacks."
``charge_levels``|``int``|True|Determines how many equally-spaced charge levels are in the charge (max charge is always the last level).|
``charge_maintained_until_fired``|``bool``|True|Unknown.|
``charge_remain_full_when_fired``|``bool``|True|Preserves current charge when the weapon is fired.|
``charge_require_input``|``bool``|True|Requires the user to hold attack to coninue to charge the weapon. If false, charge continues once triggered.|"Does not work if ``charge_is_triggered_by_ADS`` is true."
``charge_rumble_max``|``int``|True|Controls controller rumble at max charge.|
``charge_rumble_min``|``int``|True|Controls controller rumble at minimum charge.|
``charge_sound_1p``|``string``|True|Sound effect played to the user when charging begins.|
``charge_sound_3p``|``string``|True|Sound effect played to the user when charging begins.|
``charge_sound_seek_to_charge_fraction``|``bool``|True|Enables/disables setting the starting point of the charge sound effect to match the charge fraction.|
``charge_sound_stop_when_full``|``bool``|True|Enables/disables stopping the charge sound effect when charge is full.|
``charge_time``|``float``|True|The time in seconds it takes to charge to full (from empty).|
``charge_wave_max_count``|``int``|False|The number of steps charged wave attacks should take.|
``charge_wave_step_dist``|``float``|False|The distance each step moves a charged wave attack forward.|
``chargeup_time``|``float``|False|Additional time added to the active Core meter to account for charge time.|"Total Core meter time is the sum of this and ``core_duration``."
``clear_fx_on_new_view_model``|``bool``|True|Unknown.|
``clip_bodygroup``|``string``|False|The name of the magazine bodygroup to refer to.|
``clip_bodygroup_index_shown``|``bool``|False|Unknown.|
``clip_bodygroup_index_hidden``|``bool``|False|Unknown.|
``clip_bodygroup_shown_for_milestone_0``|``bool``|False|Enables/disables showing the body group during the corresponding reload milestone.|"Additional milestone values exist up to ``clip_bodygroup_shown_for_milestone_4``."
``cooldown_time``|``float``|True|The time in seconds after the weapon stops firing before it can fire again.|"Unlike ``fire_rate``, does not prevent other actions."
``cooldown_viewkick_adsScale``|``float``|True|Scalar on cooldown recoil when aiming down sights.|
``cooldown_viewkick_hardScale``|``float``|True|Scalar on cooldown hard recoil, which applies recoil instantly.|
``cooldown_viewkick_pitch_base``|``float``|True|The base amount of vertical recoil applied when cooldown begins (positive = down).|
``cooldown_viewkick_pitch_random``|``float``|True|The maximum absolute value of randomness added to base cooldown vertical recoil.|
``cooldown_viewkick_pitch_random_innerexclude``|``float``|True|Unknown.|"The same values exist for yaw (positive = left)."
``cooldown_viewkick_softScale``|``float``|True|Scalar on cooldown soft recoil, which applies recoil over time.|
``core_build_time``|``float``|True|Unused. The number of seconds to build Core.|
``core_duration``|``float``|True|Duration of the Core in seconds. Does not include Core charge up time.|
``critical_hit``|``bool``|True|Allows the weapon to land critical hits on heavily armored targets.|
``critical_hit_damage_scale``|``float``|True|Scalar on critical hit damage.|
``crosshair_force_sprint_fade_disabled``|``float``|True|Prevents the crosshair from fading when sprinting.|
``custom_bool_0``|``bool``|True|Utility value with no specific purpose.|
``custom_float_0``|``float``|True|Utility value with no specific purpose.|
``custom_int_0``|``int``|True|Utility value with no specific purpose.|"These utility values go up to ``custom_[x]_7``."
``damage_additional_bullets``|``int``|True|Has no native use. Used by Railgun in script to add damage per charge.|
``damage_additional_bullets_titanarmor``|``int``|True|Has no native use. Used by Railgun in script to add heavy armor damage per charge.|
``damage_falloff_type``|``string``|True|Determines the class of damage falloff to use. Only used by EVA-8.|
``damage_far_distance``|``float``|True|The distance at which the far damage value is reached.|"If ``headshot_distance`` is not specified, this also acts as the maximum headshot distance.

Controls maximum range for hitscan shotgun attacks.

Damage scales linearly between near to far distances and far to very far (if it is used) distances."
``damage_far_value``|``float``|True|Damage dealt to non-heavily armored targets at ``damage_far_distance``.|
``damage_far_value_titanarmor``|``float``|True|Damage dealt to heavily armored targets at ``damage_far_distance``. Optional.|"If unused, ``damage_far_value`` is applied instead."
``damage_flags``|``int``|True|The damage flags used by the weapon. Only applies by default; flags can be overwritten in script.|
``damage_headshot_scale``|``float``|True|Scalar on headshot damage.|
``damage_heavyarmor_nontitan_scale``|``float``|True|Unknown.|
``damage_inverse_distance``|``float``|True|Distance used alongside ``inverse`` damage falloff type.|
``damage_near_distance``|``float``|True|The farthest distance at which near damage value is applied.|"Damage scales linearly between near to far distances."
``damage_near_value``|``float``|True|Damage dealt to non-heavily armored targets at or below ``damage_near_distance``.|
``damage_near_value_titanarmor``|``float``|True|Damage dealt to heavily armored targets at or below ``damage_near_distance``. Optional.|"If unused, ``damage_near_value`` is applied instead."
``damage_rodeo``|``float``|True|Damage dealt to the enemy titan during Rodeo. Unused normally.|
``damage_very_far_distance``|``float``|True|The distance at which the very far damage value is reached. Optional.|"If unused, damage does not change after far distance."
``damage_very_far_value``|``float``|True|Damage dealt to non-heavily armored targets at or past ``damage_ver_far_distance``. Optional.|
``damage_very_far_value_titanarmor``|``float``|True|Damage dealt to heavily armored targets at or past ``damage_ver_far_distance``. Optional.|"If unused, ``damage_very_far_value`` is applied instead."
``deploy_time``|``float``|True|The time in seconds for the weapon to deploy when swapped to from a main weapon.|
``deploycatch_time``|``float``|True|Unknown.|
``deployfirst_time``|``float``|True|Unknown.|
``description``|``string``|True|Text displayed in weapon flyout descriptions.|
``destroy_on_all_ammo_take``|``bool``|True|Unknown.|
``destroy_on_drop``|``bool``|True|Destroys the weapon when dropped, preventing pickup.|
``dialog_core_online``|``string``|False|Voiceline played when Core is available.|
``dialog_core_activated``|``string``|False|Voiceline played when Core is activated.|
``does_not_interrupt_cloak``|``bool``|False|Enables/disables not triggering cloak flickering on toss. (Grenades only)|
``dof_nearDepthEnd``|``float``|True|Unknown.|
``dof_nearDepthStart``|``float``|True|Unknown.|
``dof_zoom_focusArea_Bottom``|``float``|True|Unknown.|
``dof_zoom_focusArea_Horizontal``|``float``|True|Unknown.|
``dof_zoom_focusArea_Top``|``float``|True|Unknown.|
``dof_zoom_nearDepthEnd``|``float``|True|Unknown.|
``dof_zoom_nearDepthStart``|``float``|True|Unknown.|
``empty_reload_only``|``bool``|False|Enables/disables allowing reloads only when there is no ammo in the magazine.|
``enable_highlight_networking_on_creation``|``bool``|True|Unknown.|
``explosion_damage``|``int``|True|Maximum explosion damage dealt to non-heavily armored targets.|
``explosion_damage_flags``|``int``|True|Unused. Likely equivalent to ``damage_flags``, but for explosions.|
``explosion_damage_heavy_armor``|``int``|True|Maximum explosion damage dealt to heavily armored targets. Optional.|"If unused, ``explosion_damage`` is applied instead."
``explosion_damages_owner``|``bool``|True|Enables/disables damaging the user with explosions.|
``explosion_inner_radius``|``float``|True|The distance within which maximum explosion damage is dealt. Optional.|"If unused, assumed to be 0."
``explosion_shake_amplitude``|``float``|True|Strength of screen shake caused by explosions.|
``explosion_shake_duration``|``float``|True|The time in seconds that the explosion screen shake lasts.|
``explosion_shake_frequency``|``float``|True|Frequency of the explosion screen shake pattern.|
``explosion_shake_radius``|``float``|True|The radius in which the explosion screen shake applies to enemies.|
``explosionradius``|``float``|True|The maximum distance within which explosion damage can be dealt.|
``fast_swap_to``|``bool``|True|Enables/disables fast swap when swapping to the weapon.|
``fire_anim_rate``|``float``|False|Unknown.|
``fire_duration``|``float``|True|Duration in seconds that an ability lasts for. Used by offhand weapons.|"Also determines ammo drain time for weapons with ``ammo_drains_to_empty_on_fire`` enabled."
``fire_mode``|``string``|True|Determines weapon attack and holster behavior.|"``auto``, ``full-auto``: Attacks as long as the trigger is held. (Default)

``semi-auto``: Attacks once per trigger pull.

``offhand``: Swapped to when triggered, attacks as soon as possible, and holsters once fired.

``offhand_instant``: Immediately attacks without being swapped to.

``offhand_melee``: Used by melee weapons.

``offhand_melee_hybrid``: Used by held melee weapons. Triggers a melee attack by attacking with the weapon."
``fire_rate``|``float``|True|The fire rate of the weapon in attacks per second.|"For burst weapons, determines the fire rate of the burst.

For weapons with accelerating fire rate, determines the minimum fire rate.

Also prevents other actions (e.g. holstering, melee) until the shot cooldown (1/``fire_rate``) has passed."
``fire_rate_max``|``float``|True|The maximum fire rate of the weapon in attacks per second. Used for accelerating fire rate.|
``fire_rate_max_time_cooldown``|``float``|True|The time in seconds for the fire rate to decrease to minimum. Used for accelerating fire rate.|
``fire_rate_max_time_speedup``|``float``|True|The time in seconds for the fire rate to increase to maximum. Used for accelerating fire rate.|
``fire_rate_max_use_ads``|``bool``|True|Enables/disables setting fire rate to ``fire_rate_max`` when aiming down sights.|"Disables acceleration defined by ``fire_rate_max_time_cooldown`` and ``fire_rate_max_time_speedup``."
``fire_rumble``|``string``|True|Determines the class used for controller rumble.|
``fire_sound_1``|``string``|True|Deprecated. Sound effect played to user on attack.|
``fire_sound_1_npc``|``string``|True|Sound effect played to others on NPC attack.|
``fire_sound_1_player_1p``|``string``|True|Sound effect played to user on attack.|
``fire_sound_1_player_3p``|``string``|True|Sound effect played to others on attack.|"Additional fire sound effects exist up to ``fire_sound_3``."
``fire_sound_first_shot``|``string``|True|Deprecated. Sound effect played for the user on the first attack per trigger pull.|
``fire_sound_first_shot_npc``|``string``|True|Deprecated. Sound effect played for others on the first attack per trigger pull done by an NPC.|
``fire_sound_first_shot_player_1p``|``string``|True|Deprecated. Sound effect played for the user on the first attack per trigger pull.|
``fire_sound_first_shot_player_3p``|``string``|True|Deprecated. Sound effect played for others on the first attack per trigger pull.|"This functionality is done with looping sound effects now."
``flyoutEnabled``|``bool``|False|Enables/disables weapon flyouts for this weapon.|
``fx_muzzle_flash_attach``|``string``|True|The weapon part to attach the muzzle flash effect to.|
``fx_muzzle_flash_attach_scoped``|``string``|True|The weapon part to attach the muzzle flash effect to while aiming down sights.|
``fx_muzzle_flash_view``|``string``|True|The muzzle flash effect shown to the user on attack.|
``fx_muzzle_flash_world``|``string``|True|The muzzle flash effect shown to others on attack.|"An additional muzzle flash effect can be used under ``fx_muzzle_flash2``."
``fx_shell_eject_attach``|``string``|True|The weapon part to attach the shell eject effect to.|
``fx_shell_eject_attach_scoped``|``string``|True|The weapon part to attach the shell eject effect to while aiming down sights.|
``fx_shell_eject_view``|``asset``|True|The shell eject effect shown to the user on attack.|
``fx_shell_eject_world``|``asset``|True|The shell eject effect shown to others on attack.|"An additional shell eject effect can be used under ``fx_shell_eject2``."
``gamepad_use_yaw_speed_for_pitch_ads``|``bool``|True|Uses yaw sensitivity for pitch sensitivity on controllers (normally, pitch is lower).|
``gesture_attack_anim``|``bool``|False|Unknown.|
``grapple_maxLength``|``float``|True|The maximum horizontal length of grapple (x/y axis).|
``grapple_maxLengthVert``|``float``|True|The maximum vertical length of grapple (z axis).|
``grapple_power_required``|``float``|True|The minimum amount of power required to use grapple.|
``grapple_power_use_rate``|``float``|True|The power drained per second while grapple is in use.|
``grapple_weapon``|``bool``|True|Identifies that the weapon is a grapple.|
``grenade_arc_impact_indicator_effect``|``asset``|True|The visual effect where the grenade arc indicator touches terrain.|
``grenade_arc_indicator_bounce_count``|``int``|True|The number of bounces the grenade arc indicator shows.|
``grenade_arc_indicator_effect``|``asset``|True|The particle effect used to create the grenade arc indicator.|
``grenade_arc_indicator_effect_first``|``asset``|True|Unknown.|
``grenade_arc_indicator_show_from_hip``|``bool``|True|Enables/disables the grenade arc indicator to be shown while not aiming down sights.|
``grenade_bounce_extra_vertical_randomness``|``float``|True|Scalar on the maximum random vertical velocity added to grenade velocity on bounce. (Grenades only)|
``grenade_bounce_randomness``|``float``|True|Scalar on the maximum random horizontal velocity added to grenade velocity on bounce. (Grenades only)|
``grenade_bounce_vel_frac_along_normal``|``float``|True|The fraction of velocity preserved when bouncing off a surface parallel to velocity. (Grenades only)|
``grenade_bounce_vel_frac_shallow``|``float``|True|The fraction of velocity preserved when bouncing off a surface at a shallow angle to velocity. (Grenades only)|
``grenade_bounce_vel_frac_sharp``|``float``|True|The fraction of velocity preserved when bouncing off a surface at a sharp angle to velocity. (Grenades only)|
``grenade_death_drop_velocity_extraUp``|``float``|True|The fraction of velocity applied upward when the grenade is released by dying. (Grenades only)|
``grenade_death_drop_velocity_scale``|``float``|True|The fraction of velocity applied forwards (in current direction) when the grenade is released by dying. (Grenades only)|
``grenade_disc_throw``|``bool``|False|Unknown.|
``grenade_fuse_time``|``float``|True|The time in seconds after being pulled out that a grenade will last before exploding. (Grenades only)|
``grenade_ignition_time``|``float``|True|The time in seconds in time after ignition that a grenade will last before expiring. Ignition is triggered in script. (Grenades only)|
``grenade_orient_to_velocity``|``bool``|True|Unknown.|
``grenade_radius_horizontal``|``float``|True|Horizontal distance a grenade will shift by when bouncing horizontally. (Grenades only)|
``grenade_radius_vertical``|``float``|True|Bonus vertical distance on the grenade hitbox. (Grenades only)|
``grenade_roll_vel_frac_per_second``|``float``|True|The fraction of velocity preserved per second of rolling. (Grenades only)|
``grenade_show_indicator_to_owner``|``bool``|False|Enables/disables the nearby grenade indicator for the user on grenades fired.|
